"site","state","county","wyear","count2","epi_year","lambda","epi.phase","site.status","mean_early_temp_global","log_early_vpd_global","pre.wns.colony.size","ext_sim_pre_count","mylu.count"
"mrBqGtn","MO","SHANNON",2015,13,1,1.340801291,"Invasion","Extirpated",NA,NA,2,2,NA
"mrBqGtn","MO","SHANNON",2016,7,2,0.538461538,"Invasion","Extirpated",NA,NA,2,2,NA
"mrBqGtn","MO","SHANNON",2017,1,3,0.142857143,"Invasion","Extirpated",NA,NA,2,2,NA
"JhXzDEf","VA","CRAIG",2011,2,0,1.414213562,"Pre-invasion","Extirpated",NA,NA,NA,1,NA
"JhXzDEf","VA","CRAIG",2013,1,2,0.707106781,"Invasion","Extirpated",NA,NA,NA,1,NA
"7dQVASK","PA","HUNTINGDON",2007,2,-5,NA,"Pre-invasion",NA,NA,NA,1,NA,NA
"7dQVASK","PA","HUNTINGDON",2009,2,-3,1,"Pre-invasion",NA,NA,NA,1,NA,NA
"7dQVASK","PA","HUNTINGDON",2011,1,-1,0.707106781,"Pre-invasion",NA,NA,NA,1,NA,NA
"8fc2ECN","MO","PULASKI",2011,4,-4,1.154700538,"Pre-invasion",NA,NA,NA,2,NA,NA
"8fc2ECN","MO","PULASKI",2013,3,-2,0.866025404,"Pre-invasion",NA,NA,NA,2,NA,NA
"8fc2ECN","MO","PULASKI",2015,1,0,0.577350269,"Pre-invasion",NA,NA,NA,2,NA,NA
"BxttuGe","MO","CRAWFORD",2015,15,0,0.982180549,"Pre-invasion",NA,NA,NA,NA,NA,NA
"sOC9Smj","IN","CRAWFORD",2007,831,-5,0.956659938,"Pre-invasion","Persisting",8.969877167,NA,586,586,NA
"sOC9Smj","IN","CRAWFORD",2009,587,-3,0.840462883,"Pre-invasion","Persisting",8.969877167,NA,586,586,NA
"sOC9Smj","IN","CRAWFORD",2012,341,0,0.834395768,"Pre-invasion","Persisting",8.969877167,NA,586,586,NA
"sOC9Smj","IN","CRAWFORD",2014,192,2,0.750366479,"Invasion","Persisting",8.969877167,NA,586,586,NA
"sOC9Smj","IN","CRAWFORD",2016,153,4,0.892678554,"Invasion","Persisting",8.969877167,NA,586,586,NA
"sOC9Smj","IN","CRAWFORD",2018,201,6,1.146178647,"Established","Persisting",8.969877167,NA,586,586,NA
"yTHRIzp","AL","JACKSON",2009,192,-5,1.122807018,"Pre-invasion","Persisting",NA,NA,129,129,NA
"yTHRIzp","AL","JACKSON",2011,147,-3,0.875,"Pre-invasion","Persisting",NA,NA,129,129,NA
"yTHRIzp","AL","JACKSON",2012,148,-2,1.006802721,"Pre-invasion","Persisting",NA,NA,129,129,NA
"yTHRIzp","AL","JACKSON",2013,130,-1,0.878378378,"Pre-invasion","Persisting",NA,NA,129,129,NA
"yTHRIzp","AL","JACKSON",2014,18,0,0.138461538,"Pre-invasion","Persisting",NA,NA,129,129,NA
"yTHRIzp","AL","JACKSON",2015,15,1,0.833333333,"Invasion","Persisting",NA,NA,129,129,NA
"yTHRIzp","AL","JACKSON",2017,18,3,1.095445115,"Invasion","Persisting",NA,NA,129,129,NA
"yTHRIzp","AL","JACKSON",2019,22,5,1.105541597,"Invasion","Persisting",NA,NA,129,129,NA
"0WdJkWC","WV","PENDLETON",2007,2,-4,1.414213562,"Pre-invasion","Persisting",4.68708494,-0.699221462,1,1,NA
"0WdJkWC","WV","PENDLETON",2009,1,-2,0.707106781,"Pre-invasion","Persisting",4.68708494,-0.699221462,1,1,NA
"0WdJkWC","WV","PENDLETON",2019,2,8,1.414213562,"Established","Persisting",4.68708494,-0.699221462,1,1,NA
"nG8bsMF","MO","WASHINGTON",2009,42,-4,0.67936622,"Pre-invasion","Persisting",NA,NA,30,30,NA
"nG8bsMF","MO","WASHINGTON",2011,31,-2,0.859124693,"Pre-invasion","Persisting",NA,NA,30,30,NA
"nG8bsMF","MO","WASHINGTON",2013,22,0,0.842423539,"Pre-invasion","Persisting",NA,NA,30,30,NA
"nG8bsMF","MO","WASHINGTON",2015,16,2,0.852802865,"Invasion","Persisting",NA,NA,30,30,NA
"nG8bsMF","MO","WASHINGTON",2017,12,4,0.866025404,"Invasion","Persisting",NA,NA,30,30,NA
"nG8bsMF","MO","WASHINGTON",2019,14,6,1.08012345,"Established","Persisting",NA,NA,30,30,NA
"UD4F5cz","PA","MIFFLIN",2005,1,-4,0.707106781,"Pre-invasion","Extirpated",NA,NA,3,3,NA
"UD4F5cz","PA","MIFFLIN",2007,4,-2,2,"Pre-invasion","Extirpated",NA,NA,3,3,NA
"UD4F5cz","PA","MIFFLIN",2009,2,0,0.707106781,"Pre-invasion","Extirpated",NA,NA,3,3,NA
"UD4F5cz","PA","MIFFLIN",2011,2,2,1,"Invasion","Extirpated",NA,NA,3,3,5
"UD4F5cz","PA","MIFFLIN",2012,1,3,0.5,"Invasion","Extirpated",NA,NA,3,3,NA
"srdXTVs","MO","CARTER",2012,30,-2,0.995970619,"Pre-invasion","Extirpated",NA,NA,29,29,NA
"srdXTVs","MO","CARTER",2014,22,0,0.856348839,"Pre-invasion","Extirpated",NA,NA,29,29,NA
"srdXTVs","MO","CARTER",2016,1,2,0.213200716,"Invasion","Extirpated",NA,NA,29,29,NA
"XirHcdx","IN","GREENE",2007,91,-5,0.97361012,"Pre-invasion","Persisting",NA,NA,61,61,NA
"XirHcdx","IN","GREENE",2009,62,-3,0.825420306,"Pre-invasion","Persisting",NA,NA,61,61,NA
"XirHcdx","IN","GREENE",2012,87,0,1.119547491,"Pre-invasion","Persisting",NA,NA,61,61,NA
"XirHcdx","IN","GREENE",2014,8,2,0.303239217,"Invasion","Persisting",NA,NA,61,61,NA
"XirHcdx","IN","GREENE",2016,1,4,0.353553391,"Invasion","Persisting",NA,NA,61,61,NA
"XirHcdx","IN","GREENE",2018,2,6,1.414213562,"Established","Persisting",NA,NA,61,61,NA
"4qfAw0S","PA","CENTRE",2006,2,-2,1.414213562,"Pre-invasion","Extirpated",NA,NA,1,1,NA
"4qfAw0S","PA","CENTRE",2012,1,4,0.890898718,"Invasion","Extirpated",NA,NA,1,1,NA
"ISa6JjF","MO","FRANKLIN",2013,2,0,NA,"Pre-invasion",NA,NA,NA,NA,NA,NA
"w2EkTNu","PA","LUZERNE",2006,2,-4,1.25992105,"Pre-invasion","Extirpated",NA,NA,1,1,NA
"w2EkTNu","PA","LUZERNE",2012,1,2,0.890898718,"Invasion","Extirpated",NA,NA,1,1,NA
"oedcKWt","VA","CRAIG",2005,34,-5,1.303840481,"Pre-invasion","Extirpated",NA,NA,23,23,NA
"oedcKWt","VA","CRAIG",2007,17,-3,0.707106781,"Pre-invasion","Extirpated",NA,NA,23,23,NA
"oedcKWt","VA","CRAIG",2009,24,-1,1.188177052,"Pre-invasion","Extirpated",NA,NA,23,23,61
"oedcKWt","VA","CRAIG",2011,2,1,0.288675135,"Invasion","Extirpated",NA,NA,23,23,NA
"oedcKWt","VA","CRAIG",2013,5,3,1.58113883,"Invasion","Extirpated",NA,NA,23,23,23
"oedcKWt","VA","CRAIG",2015,2,5,0.632455532,"Invasion","Extirpated",NA,NA,23,23,NA
"oedcKWt","VA","CRAIG",2017,2,7,1,"Established","Extirpated",NA,NA,23,23,NA
"oedcKWt","VA","CRAIG",2019,1,9,0.707106781,"Established","Extirpated",NA,NA,23,23,NA
"vuzk1xx","TN","FRANKLIN",2013,28,-2,NA,"Pre-invasion","Declining",NA,NA,25,25,NA
"vuzk1xx","TN","FRANKLIN",2014,26,-1,0.928571429,"Pre-invasion","Declining",NA,NA,25,25,NA
"vuzk1xx","TN","FRANKLIN",2016,13,1,0.707106781,"Invasion","Declining",NA,NA,25,25,NA
"vuzk1xx","TN","FRANKLIN",2017,6,2,0.461538462,"Invasion","Declining",NA,NA,25,25,1
"vuzk1xx","TN","FRANKLIN",2019,4,4,0.816496581,"Invasion","Declining",NA,NA,25,25,NA
"cRFw6al","KY","ROCKCASTLE",2010,8,-4,0.707106781,"Pre-invasion","Persisting",NA,NA,37,37,NA
"cRFw6al","KY","ROCKCASTLE",2012,4,-2,0.707106781,"Pre-invasion","Persisting",NA,NA,37,37,NA
"cRFw6al","KY","ROCKCASTLE",2013,38,-1,9.5,"Pre-invasion","Persisting",NA,NA,37,37,NA
"cRFw6al","KY","ROCKCASTLE",2014,16,0,0.421052632,"Pre-invasion","Persisting",NA,NA,37,37,NA
"cRFw6al","KY","ROCKCASTLE",2016,50,2,1.767766953,"Invasion","Persisting",NA,NA,37,37,NA
"cRFw6al","KY","ROCKCASTLE",2018,3,4,0.244948974,"Invasion","Persisting",NA,NA,37,37,NA
"WkUXCx4","VT","BENNINGTON ",2004,298,-4,NA,"Pre-invasion","Declining",NA,NA,297,297,NA
"WkUXCx4","VT","BENNINGTON ",2009,63,1,0.732866478,"Invasion","Declining",NA,NA,297,297,NA
"WkUXCx4","VT","BENNINGTON ",2013,54,5,0.962195458,"Invasion","Declining",NA,NA,297,297,NA
"WkUXCx4","VT","BENNINGTON ",2017,20,9,0.780115773,"Established","Declining",NA,NA,297,297,NA
"fH0s02z","MO","LACLEDE",2011,176,-4,1.259200375,"Pre-invasion","Declining",NA,NA,171,171,NA
"fH0s02z","MO","LACLEDE",2013,172,-2,0.988571053,"Pre-invasion","Declining",NA,NA,171,171,NA
"fH0s02z","MO","LACLEDE",2015,79,0,0.677718471,"Pre-invasion","Declining",NA,NA,171,171,NA
"fH0s02z","MO","LACLEDE",2017,23,2,0.539573202,"Invasion","Declining",NA,NA,171,171,NA
"5m79Ubf","NC","RUTHERFORD",2010,2,-4,NA,"Pre-invasion",NA,NA,NA,1,NA,NA
"5m79Ubf","NC","RUTHERFORD",2013,2,-1,1,"Pre-invasion",NA,NA,NA,1,NA,NA
"5m79Ubf","NC","RUTHERFORD",2014,1,0,0.5,"Pre-invasion",NA,NA,NA,1,NA,NA
"NGNTuBN","KY","ROCKCASTLE",2008,850,-5,0.911086234,"Pre-invasion","Declining",NA,NA,422,422,NA
"NGNTuBN","KY","ROCKCASTLE",2010,656,-3,0.878501398,"Pre-invasion","Declining",NA,NA,422,422,NA
"NGNTuBN","KY","ROCKCASTLE",2012,423,-1,0.803005027,"Pre-invasion","Declining",NA,NA,422,422,NA
"NGNTuBN","KY","ROCKCASTLE",2014,1011,1,1.545985421,"Invasion","Declining",NA,NA,422,422,NA
"NGNTuBN","KY","ROCKCASTLE",2016,202,3,0.446992367,"Invasion","Declining",NA,NA,422,422,NA
"NGNTuBN","KY","ROCKCASTLE",2018,154,5,0.873141591,"Invasion","Declining",NA,NA,422,422,NA
"nYxzUvj","WV","POCAHONTAS",2006,251,-4,1.13745964,"Pre-invasion","Declining",NA,NA,287,287,NA
"nYxzUvj","WV","POCAHONTAS",2008,288,-2,1.071172422,"Pre-invasion","Declining",NA,NA,287,287,NA
"nYxzUvj","WV","POCAHONTAS",2010,305,0,1.029090753,"Pre-invasion","Declining",NA,NA,287,287,NA
"nYxzUvj","WV","POCAHONTAS",2011,180,1,0.590163934,"Invasion","Declining",NA,NA,287,287,NA
"nYxzUvj","WV","POCAHONTAS",2014,35,4,0.579337774,"Invasion","Declining",NA,NA,287,287,NA
"nYxzUvj","WV","POCAHONTAS",2016,30,6,0.9258201,"Established","Declining",NA,NA,287,287,NA
"nYxzUvj","WV","POCAHONTAS",2018,27,8,0.948683298,"Established","Declining",NA,NA,287,287,NA
"5rhBoY3","MO","MARION",2017,197420,3,NA,"Invasion","Declining",NA,NA,NA,197419,NA
"5rhBoY3","MO","MARION",2019,180802,5,0.956987007,"Invasion","Declining",NA,NA,NA,197419,NA
"pzjzClh","NY","ALBANY",2010,2,2,2,"Invasion","Extirpated",NA,NA,NA,1,3
"pzjzClh","NY","ALBANY",2011,2,3,1,"Invasion","Extirpated",NA,NA,NA,1,0
"pzjzClh","NY","ALBANY",2012,1,4,0.5,"Invasion","Extirpated",NA,NA,NA,1,1
"pzjzClh","NY","ALBANY",2013,2,5,2,"Invasion","Extirpated",NA,NA,NA,1,0
"pzjzClh","NY","ALBANY",2014,2,6,1,"Established","Extirpated",NA,NA,NA,1,2
"pzjzClh","NY","ALBANY",2015,2,7,1,"Established","Extirpated",NA,NA,NA,1,9
"pzjzClh","NY","ALBANY",2017,1,9,0.707106781,"Established","Extirpated",NA,NA,NA,1,11
"1S7pFbz","KY","PULASKI",2009,94,-4,1.119523708,"Pre-invasion","Extirpated",NA,NA,93,93,NA
"1S7pFbz","KY","PULASKI",2014,30,1,0.795790372,"Invasion","Extirpated",NA,NA,93,93,NA
"1S7pFbz","KY","PULASKI",2016,1,3,0.182574186,"Invasion","Extirpated",NA,NA,93,93,NA
"7VmcC2k","KY","LEE",2009,170,-5,0.908428709,"Pre-invasion","Declining",NA,NA,144,144,NA
"7VmcC2k","KY","LEE",2011,78,-3,0.677365137,"Pre-invasion","Declining",NA,NA,144,144,NA
"7VmcC2k","KY","LEE",2012,145,-2,1.858974359,"Pre-invasion","Declining",NA,NA,144,144,NA
"7VmcC2k","KY","LEE",2014,246,0,1.302517456,"Pre-invasion","Declining",NA,NA,144,144,NA
"7VmcC2k","KY","LEE",2017,10,3,0.343838865,"Invasion","Declining",NA,NA,144,144,NA
"7VmcC2k","KY","LEE",2019,7,5,0.836660027,"Invasion","Declining",NA,NA,144,144,NA
"HusE03d","AL","DEKALB",2016,94,0,NA,"Pre-invasion","Declining",NA,NA,NA,93,NA
"HusE03d","AL","DEKALB",2017,49,1,0.521276596,"Invasion","Declining",NA,NA,NA,93,NA
"9fxhn3Z","VA","BATH",2005,58,-5,0.923548145,"Pre-invasion","Persisting",7.155806094,-1.649681352,61,61,NA
"9fxhn3Z","VA","BATH",2007,69,-3,1.090713149,"Pre-invasion","Persisting",7.155806094,-1.649681352,61,61,NA
"9fxhn3Z","VA","BATH",2009,62,-1,0.947919155,"Pre-invasion","Persisting",7.155806094,-1.649681352,61,61,1593
"9fxhn3Z","VA","BATH",2011,75,1,1.099853363,"Invasion","Persisting",7.155806094,-1.649681352,61,61,NA
"9fxhn3Z","VA","BATH",2013,55,3,0.856348839,"Invasion","Persisting",7.155806094,-1.649681352,61,61,33
"9fxhn3Z","VA","BATH",2015,56,5,1.009049958,"Invasion","Persisting",7.155806094,-1.649681352,61,61,NA
"9fxhn3Z","VA","BATH",2017,47,7,0.916125381,"Established","Persisting",7.155806094,-1.649681352,61,61,NA
"9fxhn3Z","VA","BATH",2019,44,9,0.967558894,"Established","Persisting",7.155806094,-1.649681352,61,61,NA
"kicWrW6","WV","RANDOLPH",2016,1,2,0.568233091,"Invasion","Extirpated",NA,NA,NA,0,NA
"nkjysNL","KY","LEE",2009,404,-5,0.89090581,"Pre-invasion","Persisting",NA,NA,429,429,NA
"nkjysNL","KY","LEE",2011,198,-3,0.700070718,"Pre-invasion","Persisting",NA,NA,429,429,NA
"nkjysNL","KY","LEE",2013,430,-1,1.473674717,"Pre-invasion","Persisting",NA,NA,429,429,NA
"nkjysNL","KY","LEE",2015,420,1,0.988303691,"Invasion","Persisting",NA,NA,429,429,NA
"nkjysNL","KY","LEE",2017,126,3,0.547722558,"Invasion","Persisting",NA,NA,429,429,NA
"nkjysNL","KY","LEE",2019,135,5,1.035098339,"Invasion","Persisting",NA,NA,429,429,NA
"3NZywWK","KY","WAYNE",2016,3,2,1.732050808,"Invasion","Persisting",NA,NA,NA,2,NA
"an3b7jH","KY","JACKSON",2008,51,-5,0.835840976,"Pre-invasion","Persisting",NA,NA,27,27,NA
"an3b7jH","KY","JACKSON",2010,44,-3,0.928840728,"Pre-invasion","Persisting",NA,NA,27,27,NA
"an3b7jH","KY","JACKSON",2012,28,-1,0.797724035,"Pre-invasion","Persisting",NA,NA,27,27,NA
"an3b7jH","KY","JACKSON",2014,28,1,1,"Invasion","Persisting",NA,NA,27,27,NA
"an3b7jH","KY","JACKSON",2016,8,3,0.534522484,"Invasion","Persisting",NA,NA,27,27,NA
"an3b7jH","KY","JACKSON",2018,10,5,1.118033989,"Invasion","Persisting",NA,NA,27,27,NA
"QsM7jo9","IN","LAWRENCE",2007,10,-5,0.620173673,"Pre-invasion","Extirpated",NA,NA,9,9,NA
"QsM7jo9","IN","LAWRENCE",2012,19,0,1.136974489,"Pre-invasion","Extirpated",NA,NA,9,9,NA
"QsM7jo9","IN","LAWRENCE",2014,1,2,0.229415734,"Invasion","Extirpated",NA,NA,9,9,NA
"kYvPBcG","NJ","MORRIS",2004,538,-5,2.061962231,"Pre-invasion","Persisting",NA,NA,537,537,NA
"kYvPBcG","NJ","MORRIS",2014,111,5,0.853992527,"Invasion","Persisting",NA,NA,537,537,NA
"kYvPBcG","NJ","MORRIS",2015,193,6,1.738738739,"Established","Persisting",NA,NA,537,537,NA
"kYvPBcG","NJ","MORRIS",2016,128,7,0.663212435,"Established","Persisting",NA,NA,537,537,NA
"kYvPBcG","NJ","MORRIS",2018,79,9,0.785612818,"Established","Persisting",NA,NA,537,537,NA
"YTaloRs","KY","BRECKINRIDGE",2008,9,-4,1.162308065,"Pre-invasion","Persisting",NA,NA,8,8,NA
"YTaloRs","KY","BRECKINRIDGE",2012,7,0,0.939104416,"Pre-invasion","Persisting",NA,NA,8,8,NA
"YTaloRs","KY","BRECKINRIDGE",2014,23,2,1.812653934,"Invasion","Persisting",NA,NA,8,8,NA
"ClYmBAo","TN","STEWART",2007,56,-5,0.7368063,"Pre-invasion","Persisting",NA,NA,3,3,NA
"ClYmBAo","TN","STEWART",2009,83,-3,1.217432896,"Pre-invasion","Persisting",NA,NA,3,3,NA
"ClYmBAo","TN","STEWART",2011,4,-1,0.21952852,"Pre-invasion","Persisting",NA,NA,3,3,NA
"ClYmBAo","TN","STEWART",2012,36,0,9,"Pre-invasion","Persisting",NA,NA,3,3,246
"ClYmBAo","TN","STEWART",2013,138,1,3.833333333,"Invasion","Persisting",NA,NA,3,3,200
"ClYmBAo","TN","STEWART",2014,106,2,0.768115942,"Invasion","Persisting",NA,NA,3,3,182
"ClYmBAo","TN","STEWART",2015,161,3,1.518867925,"Invasion","Persisting",NA,NA,3,3,50
"ClYmBAo","TN","STEWART",2017,92,5,0.755928946,"Invasion","Persisting",NA,NA,3,3,NA
"ClYmBAo","TN","STEWART",2019,74,7,0.896854406,"Established","Persisting",NA,NA,3,3,NA
"OOUj2jM","IL","JACKSON",2011,50,-4,0.767796641,"Pre-invasion",NA,NA,NA,12,NA,NA
"OOUj2jM","IL","JACKSON",2013,13,-2,0.509901951,"Pre-invasion",NA,NA,NA,12,NA,NA
"OOUj2jM","IL","JACKSON",2015,2,0,0.39223227,"Pre-invasion",NA,NA,NA,12,NA,NA
"aydS7vF","KY","ESTILL",2010,87,-4,1.131093145,"Pre-invasion","Declining",NA,NA,182,182,NA
"aydS7vF","KY","ESTILL",2012,183,-2,1.450326955,"Pre-invasion","Declining",NA,NA,182,182,NA
"aydS7vF","KY","ESTILL",2014,203,0,1.053228189,"Pre-invasion","Declining",NA,NA,182,182,NA
"aydS7vF","KY","ESTILL",2017,101,3,0.792395095,"Invasion","Declining",NA,NA,182,182,NA
"idQmlCG","WV","PENDLETON",2005,96,-4,1.921537846,"Pre-invasion","Persisting",8.235028135,-1.001474818,158,158,NA
"idQmlCG","WV","PENDLETON",2006,94,-3,0.979166667,"Pre-invasion","Persisting",8.235028135,-1.001474818,158,158,NA
"idQmlCG","WV","PENDLETON",2007,159,-2,1.691489362,"Pre-invasion","Persisting",8.235028135,-1.001474818,158,158,NA
"idQmlCG","WV","PENDLETON",2009,140,0,0.938351291,"Pre-invasion","Persisting",8.235028135,-1.001474818,158,158,NA
"idQmlCG","WV","PENDLETON",2010,83,1,0.592857143,"Invasion","Persisting",8.235028135,-1.001474818,158,158,NA
"idQmlCG","WV","PENDLETON",2011,91,2,1.096385542,"Invasion","Persisting",8.235028135,-1.001474818,158,158,NA
"idQmlCG","WV","PENDLETON",2013,80,4,0.937614462,"Invasion","Persisting",8.235028135,-1.001474818,158,158,NA
"idQmlCG","WV","PENDLETON",2015,95,6,1.089724736,"Established","Persisting",8.235028135,-1.001474818,158,158,NA
"idQmlCG","WV","PENDLETON",2017,68,8,0.846043423,"Established","Persisting",8.235028135,-1.001474818,158,158,NA
"idQmlCG","WV","PENDLETON",2019,80,10,1.084652289,"Established","Persisting",8.235028135,-1.001474818,158,158,NA
"54SXkRI","TN","GRUNDY",2013,19,0,NA,"Pre-invasion","Persisting",NA,NA,NA,18,NA
"54SXkRI","TN","GRUNDY",2015,17,2,0.945905303,"Invasion","Persisting",NA,NA,NA,18,NA
"54SXkRI","TN","GRUNDY",2016,18,3,1.058823529,"Invasion","Persisting",NA,NA,NA,18,NA
"54SXkRI","TN","GRUNDY",2017,11,4,0.611111111,"Invasion","Persisting",NA,NA,NA,18,NA
"54SXkRI","TN","GRUNDY",2019,3,6,0.522232968,"Established","Persisting",NA,NA,NA,18,NA
"MGkqxTp","WV","POCAHONTAS",2014,10,0,0.944525963,"Pre-invasion",NA,NA,NA,NA,NA,NA
"XWabA8l","MO","PULASKI",2013,92,-2,1.652717583,"Pre-invasion","Declining",NA,NA,91,91,NA
"XWabA8l","MO","PULASKI",2015,59,0,0.800814802,"Pre-invasion","Declining",NA,NA,91,91,NA
"XWabA8l","MO","PULASKI",2017,3,2,0.225493808,"Invasion","Declining",NA,NA,91,91,NA
"MLuUc21","IN","HARRISON",2009,18485,-4,0.852063573,"Pre-invasion","Declining",6.090436601,NA,20403,20403,NA
"MLuUc21","IN","HARRISON",2011,20404,-2,1.050625482,"Pre-invasion","Declining",6.090436601,NA,20403,20403,NA
"MLuUc21","IN","HARRISON",2013,13814,0,0.82281475,"Pre-invasion","Declining",6.090436601,NA,20403,20403,NA
"MLuUc21","IN","HARRISON",2015,2425,2,0.418982753,"Invasion","Declining",6.090436601,NA,20403,20403,NA
"MLuUc21","IN","HARRISON",2017,743,4,0.55352665,"Invasion","Declining",6.090436601,NA,20403,20403,NA
"MLuUc21","IN","HARRISON",2019,73,6,0.313449097,"Established","Declining",6.090436601,NA,20403,20403,NA
"jTeq9eh","KY","ROCKCASTLE",2010,28,-4,0.740958574,"Pre-invasion","Persisting",NA,NA,68,68,NA
"jTeq9eh","KY","ROCKCASTLE",2012,69,-2,1.569804355,"Pre-invasion","Persisting",NA,NA,68,68,NA
"jTeq9eh","KY","ROCKCASTLE",2014,37,0,0.732278556,"Pre-invasion","Persisting",NA,NA,68,68,NA
"jTeq9eh","KY","ROCKCASTLE",2016,39,2,1.026671347,"Invasion","Persisting",NA,NA,68,68,NA
"jTeq9eh","KY","ROCKCASTLE",2018,2,4,0.226455407,"Invasion","Persisting",NA,NA,68,68,NA
"UwXak1F","WV","RANDOLPH",2008,11,-4,2.34520788,"Pre-invasion","Extirpated",NA,NA,10,10,NA
"UwXak1F","WV","RANDOLPH",2012,2,0,0.652994206,"Pre-invasion","Extirpated",NA,NA,10,10,NA
"UwXak1F","WV","RANDOLPH",2016,1,4,0.840896415,"Invasion","Extirpated",NA,NA,10,10,NA
"hZ4AsBX","WV","POCAHONTAS",2011,5,0,1.709975947,"Pre-invasion","Extirpated",NA,NA,NA,4,NA
"hZ4AsBX","WV","POCAHONTAS",2016,1,5,0.724779664,"Invasion","Extirpated",NA,NA,NA,4,NA
"mhQJkIs","TN","WHITE",2013,10,0,1.038138067,"Pre-invasion",NA,NA,NA,NA,NA,NA
"Fdqx1uo","IN","HARRISON",2009,1060,-4,0.88940698,"Pre-invasion","Persisting",NA,NA,1100,1100,NA
"Fdqx1uo","IN","HARRISON",2011,1101,-2,1.019156144,"Pre-invasion","Persisting",NA,NA,1100,1100,NA
"Fdqx1uo","IN","HARRISON",2013,3371,0,1.74978914,"Pre-invasion","Persisting",NA,NA,1100,1100,NA
"Fdqx1uo","IN","HARRISON",2015,6680,2,1.40769593,"Invasion","Persisting",NA,NA,1100,1100,NA
"Fdqx1uo","IN","HARRISON",2017,5290,4,0.889896717,"Invasion","Persisting",NA,NA,1100,1100,NA
"Fdqx1uo","IN","HARRISON",2019,4973,6,0.969574966,"Established","Persisting",NA,NA,1100,1100,NA
"Kz3uVfo","NY","ULSTER",2003,8641,-5,0.947899283,"Pre-invasion","Persisting",5.713007657,-3.678278498,13014,13014,NA
"Kz3uVfo","NY","ULSTER",2005,11395,-3,1.148352347,"Pre-invasion","Persisting",5.713007657,-3.678278498,13014,13014,NA
"Kz3uVfo","NY","ULSTER",2007,13015,-1,1.068722423,"Pre-invasion","Persisting",5.713007657,-3.678278498,13014,13014,NA
"Kz3uVfo","NY","ULSTER",2008,125,0,0.009604303,"Pre-invasion","Persisting",5.713007657,-3.678278498,13014,13014,NA
"Kz3uVfo","NY","ULSTER",2009,342,1,2.736,"Invasion","Persisting",5.713007657,-3.678278498,13014,13014,NA
"Kz3uVfo","NY","ULSTER",2010,191,2,0.558479532,"Invasion","Persisting",5.713007657,-3.678278498,13014,13014,10251
"Kz3uVfo","NY","ULSTER",2011,123,3,0.643979058,"Invasion","Persisting",5.713007657,-3.678278498,13014,13014,16673
"Kz3uVfo","NY","ULSTER",2013,124,5,1.004056812,"Invasion","Persisting",5.713007657,-3.678278498,13014,13014,NA
"Kz3uVfo","NY","ULSTER",2015,192,7,1.244342034,"Established","Persisting",5.713007657,-3.678278498,13014,13014,NA
"Kz3uVfo","NY","ULSTER",2017,135,9,0.838525492,"Established","Persisting",5.713007657,-3.678278498,13014,13014,NA
"zKVC3R6","KY","JACKSON",2008,341,-5,0.793923317,"Pre-invasion","Persisting",NA,NA,333,333,NA
"zKVC3R6","KY","JACKSON",2010,357,-3,1.023191488,"Pre-invasion","Persisting",NA,NA,333,333,NA
"zKVC3R6","KY","JACKSON",2012,334,-1,0.967250862,"Pre-invasion","Persisting",NA,NA,333,333,NA
"zKVC3R6","KY","JACKSON",2014,269,1,0.897434801,"Invasion","Persisting",NA,NA,333,333,NA
"zKVC3R6","KY","JACKSON",2016,331,3,1.109271505,"Invasion","Persisting",NA,NA,333,333,NA
"zKVC3R6","KY","JACKSON",2018,248,5,0.865589229,"Invasion","Persisting",NA,NA,333,333,NA
"gNZMb82","KY","ROCKCASTLE",2012,593,-4,1.162238042,"Pre-invasion","Declining",NA,NA,592,592,NA
"gNZMb82","KY","ROCKCASTLE",2016,456,0,0.936434784,"Pre-invasion","Declining",NA,NA,592,592,NA
"gNZMb82","KY","ROCKCASTLE",2018,213,2,0.683450995,"Invasion","Declining",NA,NA,592,592,NA
"mAgUZnm","KY","MENIFEE",2011,204,-4,0.990337938,"Pre-invasion","Declining",NA,NA,186,186,NA
"mAgUZnm","KY","MENIFEE",2013,187,-2,0.957427108,"Pre-invasion","Declining",NA,NA,186,186,NA
"mAgUZnm","KY","MENIFEE",2015,268,0,1.197144553,"Pre-invasion","Declining",NA,NA,186,186,NA
"mAgUZnm","KY","MENIFEE",2017,175,2,0.808074919,"Invasion","Declining",NA,NA,186,186,NA
"mAgUZnm","KY","MENIFEE",2019,128,4,0.855235974,"Invasion","Declining",NA,NA,186,186,NA
"eEpCSBH","KY","PULASKI",2009,1,-5,0.732997248,"Pre-invasion","Declining",NA,NA,32,32,NA
"eEpCSBH","KY","PULASKI",2011,21,-3,4.582575695,"Pre-invasion","Declining",NA,NA,32,32,NA
"eEpCSBH","KY","PULASKI",2012,33,-2,1.571428571,"Pre-invasion","Declining",NA,NA,32,32,NA
"eEpCSBH","KY","PULASKI",2014,27,0,0.904534034,"Pre-invasion","Declining",NA,NA,32,32,NA
"eEpCSBH","KY","PULASKI",2016,7,2,0.509175077,"Invasion","Declining",NA,NA,32,32,NA
"eEpCSBH","KY","PULASKI",2018,5,4,0.845154255,"Invasion","Declining",NA,NA,32,32,NA
"pe4yI9f","MO","MARION",2012,2,-2,0.884865086,"Pre-invasion","Declining",NA,NA,1,1,NA
